"Matrix","Nrow","Ncol","IBRDepth","IBRSpkSep","IBRLisSep","SurprisalIBRDepth","SurprisalIBRSpkSep","SurprisalIBRLisSep"
"0001001001011101",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001011110",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001011111",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001101000",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001101001",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001101010",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001101011",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001101100",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001001001101101",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001101110",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001101111",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001111000",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001111001",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001111010",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001111011",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001111100",4,4,"3","FALSE","TRUE","4","TRUE","TRUE"
"0001001001111101",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001001001111110",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001001001111111",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001011001100",4,4,"2","FALSE","FALSE","2","FALSE","FALSE"
"0001001011001101",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001001011001110",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001001011001111",4,4,"2","FALSE","TRUE","2","FALSE","TRUE"
"0001001011011101",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001001011011110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001001011011111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001001011101110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001001011101111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001001011111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001001100111100",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001001100111101",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001001100111110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001001100111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001001101001000",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001101001001",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001101001010",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001001101001011",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001101001100",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001101001101",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001101001110",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001101001111",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001101011000",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001101011001",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001101011010",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001001101011011",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001101011100",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001001101011101",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001101011110",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001101011111",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001101101000",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001001101101001",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001001101101010",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001001101101011",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001001101101100",4,4,"5","TRUE","TRUE","4","TRUE","TRUE"
"0001001101101101",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001001101101110",4,4,"4","TRUE","TRUE","4","TRUE","TRUE"
"0001001101101111",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001001101111000",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001101111001",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001101111010",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001001101111011",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001101111100",4,4,"3","FALSE","TRUE","3","TRUE","TRUE"
"0001001101111101",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001001101111110",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001001101111111",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001111001100",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001001111001101",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001001111001110",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
