"hitNum","originalMatrix","filenameTrial1","levelTrial1","stimSingularTrial1","stimPluralTrial1","targetReferentTrial1","distractorReferentTrial1","otherReferentTrial1","targetFeatureTrial1","check1NameTrial1","check1CountTrial1","check2NameTrial1","check2CountTrial1","check3NameTrial1","check3CountTrial1","permutedMatrix1","filenameTrial2","levelTrial2","stimSingularTrial2","stimPluralTrial2","targetReferentTrial2","distractorReferentTrial2","otherReferentTrial2","targetFeatureTrial2","check1NameTrial2","check1CountTrial2","check2NameTrial2","check2CountTrial2","check3NameTrial2","check3CountTrial2","permutedMatrix2","filenameTrial3","levelTrial3","stimSingularTrial3","stimPluralTrial3","targetReferentTrial3","distractorReferentTrial3","otherReferentTrial3","targetFeatureTrial3","check1NameTrial3","check1CountTrial3","check2NameTrial3","check2CountTrial3","check3NameTrial3","check3CountTrial3","permutedMatrix3"
21,"001110111","E2/S21-trial1.jpg",1,"snowman","snowmen",1,3,2,"scarf","a beanie",1,"a scarf",2,"gloves",3,"010101111","E2/S21-trial2.jpg",2,"face","faces",1,2,3,"hat","a hat",3,"glasses",2,"a mustache",1,"111110001","E2/S21-trial3.jpg",0,"sundae","sundaes",2,1,3,"whipped cream","a cherry",3,"whipped cream",1,"chocolate sauce",2,"111010101"
22,"001110111","E2/S22-trial1.jpg",2,"snowman","snowmen",3,1,2,"scarf","a beanie",1,"a scarf",3,"gloves",2,"010111101","E2/S22-trial2.jpg",0,"face","faces",3,1,2,"mustache","a hat",3,"glasses",2,"a mustache",1,"111110001","E2/S22-trial3.jpg",1,"sundae","sundaes",3,2,1,"chocolate","a cherry",1,"whipped cream",3,"chocolate sauce",2,"100111011"
23,"001110111","E2/S23-trial1.jpg",0,"face","faces",3,1,2,"glasses","a hat",3,"glasses",1,"a mustache",2,"111001110","E2/S23-trial2.jpg",2,"sundae","sundaes",1,2,3,"whipped cream","a cherry",1,"whipped cream",3,"chocolate sauce",2,"001111110","E2/S23-trial3.jpg",1,"snowman","snowmen",2,3,1,"gloves","a beanie",1,"a scarf",3,"gloves",2,"100111011"
24,"001110111","E2/S24-trial1.jpg",0,"snowman","snowmen",2,1,3,"scarf","a beanie",3,"a scarf",1,"gloves",2,"111010101","E2/S24-trial2.jpg",2,"sundae","sundaes",3,1,2,"chocolate","a cherry",2,"whipped cream",1,"chocolate sauce",3,"101010111","E2/S24-trial3.jpg",1,"face","faces",3,1,2,"hat","a hat",2,"glasses",3,"a mustache",1,"101111010"
25,"001110111","E2/S25-trial1.jpg",2,"snowman","snowmen",1,2,3,"scarf","a beanie",1,"a scarf",3,"gloves",2,"001111110","E2/S25-trial2.jpg",0,"face","faces",2,1,3,"glasses","a hat",2,"glasses",1,"a mustache",3,"101010111","E2/S25-trial3.jpg",1,"sundae","sundaes",3,2,1,"chocolate","a cherry",1,"whipped cream",3,"chocolate sauce",2,"100111011"
26,"001110111","E2/S26-trial1.jpg",1,"face","faces",1,2,3,"glasses","a hat",3,"glasses",2,"a mustache",1,"111110001","E2/S26-trial2.jpg",2,"sundae","sundaes",3,2,1,"cherry","a cherry",3,"whipped cream",1,"chocolate sauce",2,"111100011","E2/S26-trial3.jpg",0,"snowman","snowmen",2,1,3,"gloves","a beanie",3,"a scarf",2,"gloves",1,"111101010"
27,"001110111","E2/S27-trial1.jpg",2,"sundae","sundaes",1,3,2,"whipped cream","a cherry",2,"whipped cream",3,"chocolate sauce",1,"101111010","E2/S27-trial2.jpg",1,"snowman","snowmen",1,2,3,"gloves","a beanie",1,"a scarf",3,"gloves",2,"001111110","E2/S27-trial3.jpg",0,"face","faces",2,3,1,"hat","a hat",1,"glasses",2,"a mustache",3,"010101111"
28,"001110111","E2/S28-trial1.jpg",2,"snowman","snowmen",2,1,3,"gloves","a beanie",2,"a scarf",1,"gloves",3,"110001111","E2/S28-trial2.jpg",0,"sundae","sundaes",1,2,3,"cherry","a cherry",1,"whipped cream",3,"chocolate sauce",2,"100111011","E2/S28-trial3.jpg",1,"face","faces",2,1,3,"hat","a hat",2,"glasses",3,"a mustache",1,"110111001"
29,"001110111","E2/S29-trial1.jpg",1,"sundae","sundaes",2,3,1,"cherry","a cherry",2,"whipped cream",3,"chocolate sauce",1,"011111100","E2/S29-trial2.jpg",2,"snowman","snowmen",1,2,3,"beanie","a beanie",3,"a scarf",1,"gloves",2,"111001110","E2/S29-trial3.jpg",0,"face","faces",1,3,2,"mustache","a hat",3,"glasses",2,"a mustache",1,"111011100"
30,"001110111","E2/S30-trial1.jpg",2,"snowman","snowmen",1,2,3,"gloves","a beanie",2,"a scarf",1,"gloves",3,"110001111","E2/S30-trial2.jpg",1,"sundae","sundaes",3,1,2,"whipped cream","a cherry",3,"whipped cream",2,"chocolate sauce",1,"111101010","E2/S30-trial3.jpg",0,"face","faces",1,3,2,"mustache","a hat",2,"glasses",3,"a mustache",1,"011111100"
31,"001110111","E2/S31-trial1.jpg",2,"sundae","sundaes",3,2,1,"whipped cream","a cherry",1,"whipped cream",3,"chocolate sauce",2,"100111011","E2/S31-trial2.jpg",0,"snowman","snowmen",3,1,2,"gloves","a beanie",2,"a scarf",3,"gloves",1,"110111001","E2/S31-trial3.jpg",1,"face","faces",1,2,3,"mustache","a hat",3,"glasses",1,"a mustache",2,"111001110"
32,"001110111","E2/S32-trial1.jpg",2,"face","faces",2,3,1,"glasses","a hat",1,"glasses",3,"a mustache",2,"100111011","E2/S32-trial2.jpg",1,"sundae","sundaes",1,2,3,"cherry","a cherry",2,"whipped cream",3,"chocolate sauce",1,"110111001","E2/S32-trial3.jpg",0,"snowman","snowmen",2,1,3,"beanie","a beanie",1,"a scarf",3,"gloves",2,"010111101"
33,"001110111","E2/S33-trial1.jpg",2,"face","faces",2,3,1,"mustache","a hat",1,"glasses",2,"a mustache",3,"100011111","E2/S33-trial2.jpg",1,"sundae","sundaes",1,3,2,"chocolate","a cherry",3,"whipped cream",1,"chocolate sauce",2,"111010101","E2/S33-trial3.jpg",0,"snowman","snowmen",1,2,3,"gloves","a beanie",2,"a scarf",3,"gloves",1,"011111100"
34,"001110111","E2/S34-trial1.jpg",0,"sundae","sundaes",3,1,2,"whipped cream","a cherry",3,"whipped cream",1,"chocolate sauce",2,"111001110","E2/S34-trial2.jpg",2,"face","faces",1,3,2,"hat","a hat",3,"glasses",2,"a mustache",1,"111101010","E2/S34-trial3.jpg",1,"snowman","snowmen",2,3,1,"scarf","a beanie",3,"a scarf",2,"gloves",1,"111011100"
