"hitNum","originalMatrix","filenameTrial1","levelTrial1","stimSingularTrial1","stimPluralTrial1","targetReferentTrial1","distractorReferentTrial1","otherReferentTrial1","targetFeatureTrial1","check1NameTrial1","check1CountTrial1","check2NameTrial1","check2CountTrial1","check3NameTrial1","check3CountTrial1","check4NameTrial1","check4CountTrial1","permutedMatrix1","filenameTrial2","levelTrial2","stimSingularTrial2","stimPluralTrial2","targetReferentTrial2","distractorReferentTrial2","otherReferentTrial2","targetFeatureTrial2","check1NameTrial2","check1CountTrial2","check2NameTrial2","check2CountTrial2","check3NameTrial2","check3CountTrial2","check4NameTrial2","check4CountTrial2","permutedMatrix2","filenameTrial3","levelTrial3","stimSingularTrial3","stimPluralTrial3","targetReferentTrial3","distractorReferentTrial3","otherReferentTrial3","targetFeatureTrial3","check1NameTrial3","check1CountTrial3","check2NameTrial3","check2CountTrial3","check3NameTrial3","check3CountTrial3","check4NameTrial3","check4CountTrial3","permutedMatrix3"
18,"0011010101111110","E3/S18-trial1.jpg",1,"face","faces",4,1,3,"hat","a hat",3,"glasses",2,"a mustache",3,"a tie",2,"1011110011100110","E3/S18-trial2.jpg",3,"snowman","snowmen",2,4,3,"gloves","a beanie",2,"a scarf",3,"gloves",3,"a belt",2,"0110101111101100","E3/S18-trial3.jpg",2,"sundae","sundaes",3,2,4,"whipped cream","a cherry",2,"whipped cream",2,"chocolate sauce",3,"a banana",3,"0101011010110111"
19,"0011010101111110","E3/S19-trial1.jpg",2,"snowman","snowmen",2,3,1,"belt","a beanie",3,"a scarf",2,"gloves",3,"a belt",2,"1110101011010110","E3/S19-trial2.jpg",1,"face","faces",3,2,1,"glasses","a hat",3,"glasses",3,"a mustache",2,"a tie",2,"1101111010010101","E3/S19-trial3.jpg",3,"sundae","sundaes",2,3,4,"whipped cream","a cherry",2,"whipped cream",3,"chocolate sauce",2,"a banana",3,"0101110111001011"
20,"0011010101111110","E3/S20-trial1.jpg",1,"sundae","sundaes",4,1,3,"banana","a cherry",2,"whipped cream",3,"chocolate sauce",2,"a banana",3,"0110111011001011","E3/S20-trial2.jpg",2,"face","faces",2,3,4,"glasses","a hat",2,"glasses",2,"a mustache",3,"a tie",3,"0011011001111101","E3/S20-trial3.jpg",3,"snowman","snowmen",2,1,4,"scarf","a beanie",3,"a scarf",3,"gloves",2,"a belt",2,"1011011101100101"
21,"0011010101111110","E3/S21-trial1.jpg",2,"sundae","sundaes",2,1,3,"banana","a cherry",3,"whipped cream",2,"chocolate sauce",3,"a banana",2,"0111101011101100","E3/S21-trial2.jpg",1,"face","faces",4,2,1,"tie","a hat",2,"glasses",2,"a mustache",3,"a tie",3,"1010011011101101","E3/S21-trial3.jpg",3,"snowman","snowmen",3,4,1,"beanie","a beanie",3,"a scarf",3,"gloves",2,"a belt",2,"1110110110100110"
22,"0011010101111110","E3/S22-trial1.jpg",2,"face","faces",2,1,4,"hat","a hat",2,"glasses",3,"a mustache",2,"a tie",3,"1100110110010111","E3/S22-trial2.jpg",3,"sundae","sundaes",2,4,1,"banana","a cherry",2,"whipped cream",2,"chocolate sauce",3,"a banana",3,"0110110010111110","E3/S22-trial3.jpg",1,"snowman","snowmen",3,4,2,"beanie","a beanie",3,"a scarf",2,"gloves",3,"a belt",2,"0111110011011001"
23,"0011010101111110","E3/S23-trial1.jpg",2,"face","faces",1,2,4,"tie","a hat",2,"glasses",3,"a mustache",3,"a tie",2,"0101101111011100","E3/S23-trial2.jpg",3,"sundae","sundaes",3,1,2,"chocolate","a cherry",2,"whipped cream",3,"chocolate sauce",3,"a banana",2,"0110110101110011","E3/S23-trial3.jpg",1,"snowman","snowmen",1,3,4,"scarf","a beanie",3,"a scarf",3,"gloves",2,"a belt",2,"0111101101100101"
24,"0011010101111110","E3/S24-trial1.jpg",2,"sundae","sundaes",1,3,4,"whipped cream","a cherry",2,"whipped cream",2,"chocolate sauce",3,"a banana",3,"0011101011011011","E3/S24-trial2.jpg",1,"face","faces",1,4,3,"hat","a hat",3,"glasses",3,"a mustache",2,"a tie",2,"1011011101010110","E3/S24-trial3.jpg",3,"snowman","snowmen",1,2,4,"belt","a beanie",2,"a scarf",3,"gloves",2,"a belt",3,"1001011110101011"
25,"0011010101111110","E3/S25-trial1.jpg",1,"sundae","sundaes",4,2,3,"cherry","a cherry",3,"whipped cream",2,"chocolate sauce",2,"a banana",3,"0111101011001110","E3/S25-trial2.jpg",3,"snowman","snowmen",4,2,3,"beanie","a beanie",3,"a scarf",3,"gloves",2,"a belt",2,"1011111000111001","E3/S25-trial3.jpg",2,"face","faces",3,2,1,"hat","a hat",2,"glasses",3,"a mustache",3,"a tie",2,"0110111010111100"
26,"0011010101111110","E3/S26-trial1.jpg",2,"sundae","sundaes",3,4,1,"cherry","a cherry",2,"whipped cream",3,"chocolate sauce",2,"a banana",3,"0011101110011110","E3/S26-trial2.jpg",1,"face","faces",2,1,3,"hat","a hat",3,"glasses",3,"a mustache",2,"a tie",2,"1110101110010011","E3/S26-trial3.jpg",3,"snowman","snowmen",3,4,1,"belt","a beanie",3,"a scarf",2,"gloves",2,"a belt",3,"1101101001101110"
27,"0011010101111110","E3/S27-trial1.jpg",2,"face","faces",4,2,3,"mustache","a hat",3,"glasses",3,"a mustache",2,"a tie",2,"0111101101010110","E3/S27-trial2.jpg",1,"snowman","snowmen",1,4,2,"gloves","a beanie",3,"a scarf",2,"gloves",3,"a belt",2,"0111011011010011","E3/S27-trial3.jpg",3,"sundae","sundaes",4,3,2,"banana","a cherry",2,"whipped cream",3,"chocolate sauce",2,"a banana",3,"1001111001011101"
28,"0011010101111110","E3/S28-trial1.jpg",1,"snowman","snowmen",2,4,1,"scarf","a beanie",2,"a scarf",3,"gloves",3,"a belt",2,"0011110110111010","E3/S28-trial2.jpg",2,"face","faces",3,2,4,"tie","a hat",2,"glasses",3,"a mustache",3,"a tie",2,"0101101101110110","E3/S28-trial3.jpg",3,"sundae","sundaes",4,3,1,"chocolate","a cherry",3,"whipped cream",2,"chocolate sauce",3,"a banana",2,"1110100111010101"
29,"0011010101111110","E3/S29-trial1.jpg",1,"face","faces",3,2,1,"hat","a hat",3,"glasses",2,"a mustache",2,"a tie",3,"1110010110011101","E3/S29-trial2.jpg",3,"snowman","snowmen",2,4,3,"beanie","a beanie",3,"a scarf",2,"gloves",3,"a belt",2,"1110011010111100","E3/S29-trial3.jpg",2,"sundae","sundaes",4,3,1,"chocolate","a cherry",2,"whipped cream",3,"chocolate sauce",2,"a banana",3,"1010101100111101"
30,"0011010101111110","E3/S30-trial1.jpg",2,"face","faces",4,3,1,"mustache","a hat",3,"glasses",2,"a mustache",2,"a tie",3,"1101101000111011","E3/S30-trial2.jpg",1,"snowman","snowmen",1,3,2,"gloves","a beanie",2,"a scarf",3,"gloves",3,"a belt",2,"0011011111100101","E3/S30-trial3.jpg",3,"sundae","sundaes",4,3,1,"cherry","a cherry",3,"whipped cream",2,"chocolate sauce",2,"a banana",3,"1101100101011110"
31,"0011010101111110","E3/S31-trial1.jpg",1,"snowman","snowmen",3,4,2,"gloves","a beanie",3,"a scarf",2,"gloves",3,"a belt",2,"1101100101111100","E3/S31-trial2.jpg",3,"face","faces",1,2,4,"mustache","a hat",3,"glasses",2,"a mustache",3,"a tie",2,"0111100110111010","E3/S31-trial3.jpg",2,"sundae","sundaes",4,1,3,"chocolate","a cherry",3,"whipped cream",2,"chocolate sauce",2,"a banana",3,"1011101010010111"
32,"0011010101111110","E3/S32-trial1.jpg",2,"sundae","sundaes",4,1,3,"cherry","a cherry",2,"whipped cream",3,"chocolate sauce",3,"a banana",2,"1001011110111010","E3/S32-trial2.jpg",3,"snowman","snowmen",4,2,3,"gloves","a beanie",3,"a scarf",2,"gloves",3,"a belt",2,"1110100110110011","E3/S32-trial3.jpg",1,"face","faces",1,4,3,"glasses","a hat",3,"glasses",3,"a mustache",2,"a tie",2,"0111101101100101"
33,"0011010101111110","E3/S33-trial1.jpg",2,"snowman","snowmen",1,4,2,"belt","a beanie",3,"a scarf",2,"gloves",3,"a belt",2,"1101010111101001","E3/S33-trial2.jpg",3,"face","faces",1,3,2,"hat","a hat",3,"glasses",2,"a mustache",3,"a tie",2,"1101110001111001","E3/S33-trial3.jpg",1,"sundae","sundaes",1,4,2,"banana","a cherry",2,"whipped cream",3,"chocolate sauce",2,"a banana",3,"0011011101101101"
34,"0011010101111110","E3/S34-trial1.jpg",1,"face","faces",3,2,1,"tie","a hat",2,"glasses",3,"a mustache",2,"a tie",3,"1001110101011110","E3/S34-trial2.jpg",2,"sundae","sundaes",2,4,3,"whipped cream","a cherry",3,"whipped cream",2,"chocolate sauce",2,"a banana",3,"0111010100111110","E3/S34-trial3.jpg",3,"snowman","snowmen",2,1,4,"belt","a beanie",2,"a scarf",3,"gloves",2,"a belt",3,"0101101101100111"
35,"0011010101111110","E3/S35-trial1.jpg",3,"snowman","snowmen",3,2,4,"scarf","a beanie",2,"a scarf",3,"gloves",2,"a belt",3,"1010101100111101","E3/S35-trial2.jpg",1,"face","faces",2,3,1,"glasses","a hat",2,"glasses",3,"a mustache",2,"a tie",3,"0011111010011011","E3/S35-trial3.jpg",2,"sundae","sundaes",1,4,2,"whipped cream","a cherry",3,"whipped cream",2,"chocolate sauce",3,"a banana",2,"1101100111100101"
36,"0011010101111110","E3/S36-trial1.jpg",1,"sundae","sundaes",2,1,3,"whipped cream","a cherry",2,"whipped cream",3,"chocolate sauce",2,"a banana",3,"1001111000111011","E3/S36-trial2.jpg",3,"snowman","snowmen",2,3,1,"scarf","a beanie",3,"a scarf",3,"gloves",2,"a belt",2,"1011110111000101","E3/S36-trial3.jpg",2,"face","faces",2,3,1,"mustache","a hat",3,"glasses",3,"a mustache",2,"a tie",2,"1101111001101010"
