"hitNum","originalMatrix","filenameTrial1","levelTrial1","stimSingularTrial1","stimPluralTrial1","targetReferentTrial1","distractorReferentTrial1","otherReferentTrial1","targetFeatureTrial1","check1NameTrial1","check1CountTrial1","check2NameTrial1","check2CountTrial1","check3NameTrial1","check3CountTrial1","permutedMatrix1","filenameTrial2","levelTrial2","stimSingularTrial2","stimPluralTrial2","targetReferentTrial2","distractorReferentTrial2","otherReferentTrial2","targetFeatureTrial2","check1NameTrial2","check1CountTrial2","check2NameTrial2","check2CountTrial2","check3NameTrial2","check3CountTrial2","permutedMatrix2","filenameTrial3","levelTrial3","stimSingularTrial3","stimPluralTrial3","targetReferentTrial3","distractorReferentTrial3","otherReferentTrial3","targetFeatureTrial3","check1NameTrial3","check1CountTrial3","check2NameTrial3","check2CountTrial3","check3NameTrial3","check3CountTrial3","permutedMatrix3"
18,"001011110","E1S_dist-stims/S18-trial1.jpg",2,"sundae","sundaes",3,2,1,"cherry","a cherry",2,"whipped cream",2,"chocolate sauce",1,"011101010","E1S_dist-stims/S18-trial2.jpg",0,"snowman","snowmen",2,3,1,"scarf","a beanie",2,"a scarf",1,"gloves",2,"110010101","E1S_dist-stims/S18-trial3.jpg",1,"face","faces",3,1,2,"glasses","a hat",1,"glasses",2,"a mustache",2,"010101110"
19,"001011110","E1S_dist-stims/S19-trial1.jpg",0,"sundae","sundaes",2,3,1,"chocolate","a cherry",2,"whipped cream",2,"chocolate sauce",1,"101110010","E1S_dist-stims/S19-trial2.jpg",1,"snowman","snowmen",1,2,3,"gloves","a beanie",1,"a scarf",2,"gloves",2,"001011110","E1S_dist-stims/S19-trial3.jpg",2,"face","faces",3,2,1,"hat","a hat",2,"glasses",1,"a mustache",2,"011010101"
20,"001011110","E1S_dist-stims/S20-trial1.jpg",1,"snowman","snowmen",1,3,2,"gloves","a beanie",2,"a scarf",1,"gloves",2,"011010101","E1S_dist-stims/S20-trial2.jpg",0,"sundae","sundaes",3,2,1,"chocolate","a cherry",2,"whipped cream",2,"chocolate sauce",1,"101110001","E1S_dist-stims/S20-trial3.jpg",2,"face","faces",1,2,3,"glasses","a hat",1,"glasses",2,"a mustache",2,"010110101"
21,"001011110","E1S_dist-stims/S21-trial1.jpg",1,"sundae","sundaes",3,1,2,"chocolate","a cherry",1,"whipped cream",2,"chocolate sauce",2,"010110101","E1S_dist-stims/S21-trial2.jpg",0,"snowman","snowmen",3,2,1,"beanie","a beanie",1,"a scarf",2,"gloves",2,"001110101","E1S_dist-stims/S21-trial3.jpg",2,"face","faces",1,3,2,"glasses","a hat",1,"glasses",2,"a mustache",2,"001101110"
22,"001011110","E1S_dist-stims/S22-trial1.jpg",1,"face","faces",1,3,2,"mustache","a hat",2,"glasses",1,"a mustache",2,"011010101","E1S_dist-stims/S22-trial2.jpg",0,"sundae","sundaes",1,2,3,"whipped cream","a cherry",2,"whipped cream",1,"chocolate sauce",2,"101100011","E1S_dist-stims/S22-trial3.jpg",2,"snowman","snowmen",1,3,2,"beanie","a beanie",2,"a scarf",1,"gloves",2,"101001110"
23,"001011110","E1S_dist-stims/S23-trial1.jpg",1,"face","faces",3,1,2,"glasses","a hat",1,"glasses",2,"a mustache",2,"010101110","E1S_dist-stims/S23-trial2.jpg",0,"snowman","snowmen",1,3,2,"beanie","a beanie",1,"a scarf",2,"gloves",2,"100011110","E1S_dist-stims/S23-trial3.jpg",2,"sundae","sundaes",1,2,3,"chocolate","a cherry",1,"whipped cream",2,"chocolate sauce",2,"010101110"
24,"001011110","E1S_dist-stims/S24-trial1.jpg",1,"face","faces",1,3,2,"mustache","a hat",2,"glasses",1,"a mustache",2,"011010101","E1S_dist-stims/S24-trial2.jpg",2,"sundae","sundaes",2,1,3,"chocolate","a cherry",1,"whipped cream",2,"chocolate sauce",2,"100011110","E1S_dist-stims/S24-trial3.jpg",0,"snowman","snowmen",2,3,1,"scarf","a beanie",2,"a scarf",1,"gloves",2,"101010110"
25,"001011110","E1S_dist-stims/S25-trial1.jpg",0,"sundae","sundaes",3,1,2,"chocolate","a cherry",2,"whipped cream",2,"chocolate sauce",1,"011110001","E1S_dist-stims/S25-trial2.jpg",2,"face","faces",1,3,2,"mustache","a hat",2,"glasses",1,"a mustache",2,"110001101","E1S_dist-stims/S25-trial3.jpg",1,"snowman","snowmen",1,3,2,"scarf","a beanie",1,"a scarf",2,"gloves",2,"010101011"
26,"001011110","E1S_dist-stims/S26-trial1.jpg",0,"sundae","sundaes",3,1,2,"chocolate","a cherry",2,"whipped cream",2,"chocolate sauce",1,"011110001","E1S_dist-stims/S26-trial2.jpg",2,"face","faces",1,2,3,"glasses","a hat",1,"glasses",2,"a mustache",2,"010110101","E1S_dist-stims/S26-trial3.jpg",1,"snowman","snowmen",2,3,1,"gloves","a beanie",1,"a scarf",2,"gloves",2,"100101011"
27,"001011110","E1S_dist-stims/S27-trial1.jpg",0,"face","faces",1,3,2,"glasses","a hat",2,"glasses",1,"a mustache",2,"110100011","E1S_dist-stims/S27-trial2.jpg",1,"snowman","snowmen",3,2,1,"gloves","a beanie",2,"a scarf",1,"gloves",2,"110100011","E1S_dist-stims/S27-trial3.jpg",2,"sundae","sundaes",1,3,2,"cherry","a cherry",2,"whipped cream",2,"chocolate sauce",1,"101110001"
28,"001011110","E1S_dist-stims/S28-trial1.jpg",1,"snowman","snowmen",2,1,3,"scarf","a beanie",2,"a scarf",2,"gloves",1,"101110001","E1S_dist-stims/S28-trial2.jpg",2,"face","faces",3,2,1,"hat","a hat",2,"glasses",2,"a mustache",1,"011101010","E1S_dist-stims/S28-trial3.jpg",0,"sundae","sundaes",2,3,1,"chocolate","a cherry",2,"whipped cream",2,"chocolate sauce",1,"101110010"
29,"001011110","E1S_dist-stims/S29-trial1.jpg",2,"face","faces",1,3,2,"glasses","a hat",1,"glasses",2,"a mustache",2,"001101110","E1S_dist-stims/S29-trial2.jpg",1,"sundae","sundaes",3,2,1,"whipped cream","a cherry",1,"whipped cream",2,"chocolate sauce",2,"100011110","E1S_dist-stims/S29-trial3.jpg",0,"snowman","snowmen",2,1,3,"gloves","a beanie",2,"a scarf",2,"gloves",1,"101011010"
