"Matrix","Nrow","Ncol","IBRDepth","IBRSpkSep","IBRLisSep"
"0000000000011110111110011",5,5,3,FALSE,FALSE
"0000000000011110111110111",5,5,5,FALSE,FALSE
"0000000000011110111111111",5,5,3,FALSE,FALSE
"0000000000011111000010000",5,5,3,FALSE,FALSE
"0000000000011111000010001",5,5,3,FALSE,TRUE
"0000000000011111000010011",5,5,3,FALSE,TRUE
"0000000000011111000010111",5,5,4,FALSE,TRUE
"0000000000011111000011111",5,5,3,FALSE,TRUE
"0000000000011111000110001",5,5,3,FALSE,FALSE
"0000000000011111000110010",5,5,5,FALSE,FALSE
"0000000000011111000110011",5,5,3,FALSE,TRUE
"0000000000011111000110110",5,5,3,FALSE,TRUE
"0000000000011111000110111",5,5,4,FALSE,TRUE
"0000000000011111000111110",5,5,3,FALSE,FALSE
"0000000000011111000111111",5,5,3,FALSE,TRUE
"0000000000011111001110011",5,5,3,FALSE,FALSE
"0000000000011111001110100",5,5,3,FALSE,TRUE
"0000000000011111001110101",5,5,5,FALSE,FALSE
"0000000000011111001110111",5,5,4,FALSE,TRUE
"0000000000011111001111100",5,5,5,FALSE,FALSE
"0000000000011111001111101",5,5,3,FALSE,FALSE
"0000000000011111001111111",5,5,3,FALSE,TRUE
"0000000000011111011110111",5,5,5,FALSE,FALSE
"0000000000011111011111000",5,5,3,FALSE,FALSE
"0000000000011111011111001",5,5,3,FALSE,FALSE
"0000000000011111011111011",5,5,5,FALSE,FALSE
"0000000000011111011111111",5,5,5,FALSE,FALSE
"0000000000011111111111111",5,5,3,FALSE,FALSE
"0000000000111111111111111",5,5,4,FALSE,FALSE
"0000000001000010000111110",5,5,3,FALSE,FALSE
"0000000001000010000111111",5,5,3,FALSE,FALSE
"0000000001000010001011100",5,5,3,FALSE,FALSE
"0000000001000010001011101",5,5,3,FALSE,FALSE
"0000000001000010001011110",5,5,3,FALSE,FALSE
"0000000001000010001011111",5,5,3,FALSE,FALSE
"0000000001000010001111100",5,5,3,FALSE,FALSE
"0000000001000010001111101",5,5,3,FALSE,FALSE
"0000000001000010001111110",5,5,3,FALSE,FALSE
"0000000001000010001111111",5,5,3,FALSE,FALSE
"0000000001000010011011000",5,5,3,FALSE,FALSE
"0000000001000010011011001",5,5,3,FALSE,FALSE
"0000000001000010011011010",5,5,3,FALSE,FALSE
"0000000001000010011011011",5,5,3,FALSE,FALSE
"0000000001000010011011110",5,5,3,FALSE,FALSE
"0000000001000010011011111",5,5,3,FALSE,FALSE
"0000000001000010011111000",5,5,3,FALSE,FALSE
"0000000001000010011111001",5,5,3,FALSE,FALSE
"0000000001000010011111010",5,5,5,FALSE,FALSE
"0000000001000010011111011",5,5,3,FALSE,FALSE
"0000000001000010011111110",5,5,3,FALSE,FALSE
"0000000001000010011111111",5,5,3,FALSE,FALSE
"0000000001000010111010000",5,5,3,FALSE,FALSE
"0000000001000010111010001",5,5,3,FALSE,FALSE
"0000000001000010111010010",5,5,3,FALSE,FALSE
"0000000001000010111010011",5,5,5,FALSE,FALSE
"0000000001000010111010110",5,5,5,FALSE,FALSE
"0000000001000010111010111",5,5,3,FALSE,FALSE
"0000000001000010111011110",5,5,3,FALSE,FALSE
"0000000001000010111011111",5,5,3,FALSE,FALSE
"0000000001000010111110000",5,5,3,FALSE,FALSE
"0000000001000010111110001",5,5,3,FALSE,FALSE
"0000000001000010111110010",5,5,3,FALSE,FALSE
"0000000001000010111110011",5,5,3,FALSE,FALSE
"0000000001000010111110110",5,5,3,FALSE,FALSE
"0000000001000010111110111",5,5,5,FALSE,FALSE
"0000000001000010111111110",5,5,4,FALSE,FALSE
"0000000001000010111111111",5,5,3,FALSE,FALSE
"0000000001000011111011110",5,5,3,FALSE,FALSE
"0000000001000011111011111",5,5,3,FALSE,FALSE
"0000000001000011111111111",5,5,3,FALSE,FALSE
"0000000001000100001011100",5,5,3,FALSE,FALSE
"0000000001000100001011101",5,5,3,FALSE,FALSE
"0000000001000100001011110",5,5,3,FALSE,FALSE
"0000000001000100001011111",5,5,3,FALSE,FALSE
"0000000001000100001111100",5,5,3,FALSE,TRUE
"0000000001000100001111101",5,5,3,FALSE,TRUE
"0000000001000100001111110",5,5,3,FALSE,TRUE
"0000000001000100001111111",5,5,3,FALSE,TRUE
"0000000001000100010011000",5,5,3,FALSE,TRUE
"0000000001000100010011001",5,5,3,FALSE,TRUE
"0000000001000100010011010",5,5,3,FALSE,TRUE
"0000000001000100010011011",5,5,3,FALSE,TRUE
"0000000001000100010011100",5,5,3,FALSE,TRUE
"0000000001000100010011101",5,5,3,FALSE,TRUE
"0000000001000100010011110",5,5,3,FALSE,TRUE
"0000000001000100010011111",5,5,3,FALSE,TRUE
"0000000001000100010111000",5,5,3,FALSE,TRUE
"0000000001000100010111001",5,5,3,FALSE,TRUE
"0000000001000100010111010",5,5,3,FALSE,TRUE
"0000000001000100010111011",5,5,3,FALSE,TRUE
"0000000001000100010111100",5,5,3,FALSE,TRUE
"0000000001000100010111101",5,5,3,FALSE,TRUE
"0000000001000100010111110",5,5,3,FALSE,TRUE
"0000000001000100010111111",5,5,3,FALSE,TRUE
"0000000001000100011011000",5,5,3,FALSE,TRUE
"0000000001000100011011001",5,5,3,FALSE,TRUE
"0000000001000100011011010",5,5,3,FALSE,TRUE
"0000000001000100011011011",5,5,3,FALSE,TRUE
"0000000001000100011011100",5,5,3,FALSE,TRUE
"0000000001000100011011101",5,5,3,FALSE,TRUE
"0000000001000100011011110",5,5,3,FALSE,TRUE
"0000000001000100011011111",5,5,3,FALSE,TRUE
"0000000001000100011111000",5,5,3,FALSE,TRUE
"0000000001000100011111001",5,5,3,FALSE,TRUE
"0000000001000100011111010",5,5,3,FALSE,TRUE
"0000000001000100011111011",5,5,3,FALSE,TRUE
"0000000001000100011111100",5,5,4,FALSE,TRUE
"0000000001000100011111101",5,5,3,FALSE,TRUE
"0000000001000100011111110",5,5,3,FALSE,TRUE
"0000000001000100011111111",5,5,3,FALSE,TRUE
"0000000001000100110010000",5,5,3,FALSE,TRUE
"0000000001000100110010001",5,5,3,FALSE,TRUE
"0000000001000100110010010",5,5,3,FALSE,TRUE
"0000000001000100110010011",5,5,3,FALSE,TRUE
"0000000001000100110010100",5,5,5,TRUE,TRUE
"0000000001000100110010101",5,5,3,FALSE,TRUE
"0000000001000100110010110",5,5,3,FALSE,TRUE
"0000000001000100110010111",5,5,3,FALSE,TRUE
"0000000001000100110011100",5,5,3,FALSE,TRUE
"0000000001000100110011101",5,5,3,FALSE,TRUE
"0000000001000100110011110",5,5,3,FALSE,TRUE
"0000000001000100110011111",5,5,3,FALSE,TRUE
"0000000001000100110110000",5,5,3,FALSE,TRUE
"0000000001000100110110001",5,5,3,FALSE,TRUE
"0000000001000100110110010",5,5,3,FALSE,TRUE
"0000000001000100110110011",5,5,3,FALSE,TRUE
"0000000001000100110110100",5,5,3,FALSE,TRUE
"0000000001000100110110101",5,5,5,TRUE,TRUE
"0000000001000100110110110",5,5,5,TRUE,TRUE
"0000000001000100110110111",5,5,3,FALSE,TRUE
"0000000001000100110111100",5,5,4,FALSE,TRUE
"0000000001000100110111101",5,5,3,FALSE,TRUE
"0000000001000100110111110",5,5,3,FALSE,TRUE
"0000000001000100110111111",5,5,3,FALSE,TRUE
"0000000001000100111010000",5,5,3,FALSE,TRUE
"0000000001000100111010001",5,5,3,FALSE,TRUE
"0000000001000100111010010",5,5,3,FALSE,TRUE
"0000000001000100111010011",5,5,3,FALSE,TRUE
"0000000001000100111010100",5,5,3,FALSE,TRUE
"0000000001000100111010101",5,5,5,TRUE,TRUE
"0000000001000100111010110",5,5,5,TRUE,TRUE
"0000000001000100111010111",5,5,3,FALSE,TRUE
"0000000001000100111011100",5,5,4,FALSE,TRUE
"0000000001000100111011101",5,5,3,FALSE,TRUE
"0000000001000100111011110",5,5,3,FALSE,TRUE
"0000000001000100111011111",5,5,3,FALSE,TRUE
"0000000001000100111110000",5,5,3,FALSE,TRUE
"0000000001000100111110001",5,5,3,FALSE,TRUE
"0000000001000100111110010",5,5,3,FALSE,TRUE
"0000000001000100111110011",5,5,3,FALSE,TRUE
"0000000001000100111110100",5,5,3,FALSE,TRUE
"0000000001000100111110101",5,5,3,FALSE,TRUE
"0000000001000100111110110",5,5,3,FALSE,TRUE
"0000000001000100111110111",5,5,5,TRUE,TRUE
"0000000001000100111111100",5,5,3,FALSE,TRUE
"0000000001000100111111101",5,5,4,FALSE,TRUE
"0000000001000100111111110",5,5,4,FALSE,TRUE
"0000000001000100111111111",5,5,3,FALSE,TRUE
"0000000001000101110011100",5,5,3,FALSE,FALSE
"0000000001000101110011101",5,5,3,FALSE,TRUE
"0000000001000101110011110",5,5,3,FALSE,TRUE
"0000000001000101110011111",5,5,3,FALSE,TRUE
"0000000001000101110111101",5,5,3,FALSE,FALSE
"0000000001000101110111110",5,5,3,FALSE,FALSE
"0000000001000101110111111",5,5,3,FALSE,TRUE
"0000000001000101111011110",5,5,3,FALSE,FALSE
"0000000001000101111011111",5,5,3,FALSE,TRUE
"0000000001000101111111111",5,5,3,FALSE,FALSE
"0000000001000110001111100",5,5,3,FALSE,FALSE
"0000000001000110001111101",5,5,3,FALSE,FALSE
"0000000001000110001111110",5,5,3,FALSE,FALSE
"0000000001000110001111111",5,5,3,FALSE,FALSE
"0000000001000110010011000",5,5,3,FALSE,TRUE
"0000000001000110010011001",5,5,3,FALSE,TRUE
"0000000001000110010011010",5,5,3,FALSE,TRUE
"0000000001000110010011011",5,5,3,FALSE,TRUE
"0000000001000110010011100",5,5,3,FALSE,TRUE
"0000000001000110010011101",5,5,3,FALSE,TRUE
"0000000001000110010011110",5,5,3,FALSE,TRUE
"0000000001000110010011111",5,5,3,FALSE,TRUE
"0000000001000110010111000",5,5,3,FALSE,TRUE
"0000000001000110010111001",5,5,3,FALSE,TRUE
"0000000001000110010111010",5,5,3,FALSE,TRUE
"0000000001000110010111011",5,5,3,FALSE,TRUE
"0000000001000110010111100",5,5,3,FALSE,TRUE
"0000000001000110010111101",5,5,3,FALSE,TRUE
"0000000001000110010111110",5,5,3,FALSE,TRUE
"0000000001000110010111111",5,5,3,FALSE,TRUE
"0000000001000110011011000",5,5,4,FALSE,TRUE
"0000000001000110011011001",5,5,4,FALSE,TRUE
"0000000001000110011011010",5,5,4,FALSE,TRUE
"0000000001000110011011011",5,5,4,FALSE,TRUE
"0000000001000110011011100",5,5,4,FALSE,TRUE
"0000000001000110011011101",5,5,4,FALSE,TRUE
"0000000001000110011011110",5,5,4,FALSE,TRUE
"0000000001000110011011111",5,5,4,FALSE,TRUE
"0000000001000110011111000",5,5,3,FALSE,TRUE
"0000000001000110011111001",5,5,3,FALSE,TRUE
